1
//CatID	Sort	PackID	ProdID	ItemID	Pk.Val	Pr.Opt1	Pr.Opt2	Pr.Opt3	Pr.Opt4
24	4	32	59	6778	100	97	98	0	0
24	5	26	62	6765	80	103	104	0	0
24	6	24	63	6766	80	105	106	0	0
24	7	22	64	6767	80	107	108	0	0
24	8	20	65	6768	80	109	110	0	0
24	9	18	66	6769	90	111	112	0	0
24	10	16	67	6770	90	113	114	0	0
24	11	14	68	6771	90	115	116	0	0
24	12	256	283	6279	90	351	352	0	0
24	13	44	53	6275	90	85	86	0	0
24	14	42	54	6276	90	87	88	0	0
24	15	40	55	6277	90	89	90	0	0
24	16	38	56	6278	90	91	92	0	0
25	1	193	154	6780	190	214	0	0	0
25	2	156	111	6780	290	170	0	0	0
25	3	167	129	6780	400	188	189	0	0
25	4	118	12	6702	100	20	21	0	0
25	5	116	13	6703	100	22	23	0	0
25	6	104	19	6717	150	29	30	0	0
25	7	56	47	6704	80	73	74	0	0
25	8	3	79	6783	100	134	135	0	0
26	1	4	76	7301	40	129	0	0	0
26	2	96	23	7238	20	39	0	0	0
26	3	94	24	7239	20	40	0	0	0
27	1	265	264	7302	200	0	0	0	0
27	2	141	32	7260	180	54	0	0	0
27	3	81	34	7263	80	56	0	0	0
27	4	261	281	7330	690	349	0	0	0
27	5	259	282	7331	2490	350	0	0	0
27	6	146	95	6780	1570	0	0	0	0
27	7	144	94	6780	1570	0	0	0	0
27	8	187	149	7305	0	209	0	0	0
27	9	164	32	7306	400	0	0	0	0
27	10	163	115	7302	500	0	0	0	0
27	11	13	69	7280	20	117	0	0	0
27	12	12	70	7281	60	118	0	0	0
27	13	99	22	7221	100	37	38	0	0
27	14	127	31	7259	500	53	0	0	0
27	15	115	14	6710	250	24	0	0	0
27	16	113	15	6711	250	25	0	0	0
27	17	111	16	6712	250	26	0	0	0
27	18	109	17	6713	250	27	0	0	0
27	19	107	18	6714	250	28	0	0	0
28	1	71	40	6725	50	66	0	0	0
28	2	69	41	6726	40	67	0	0	0
29	1	125	9	6699	100	9	10	11	12
29	2	123	10	6700	150	13	14	15	16
29	3	121	11	6701	80	17	18	19	0
29	4	75	38	6718	120	62	63	0	0
29	5	73	39	6719	100	64	65	0	0
29	6	51	50	6749	100	77	78	79	0
29	7	49	51	6750	150	80	81	82	0
29	8	8	73	6760	120	123	124	0	0
29	9	7	74	6761	120	125	126	0	0
29	10	196	159	7307	320	0	0	0	0
29	11	198	158	7307	320	0	0	0	0
29	12	200	156	7303	488	0	0	0	0
29	13	202	156	7303	488	0	0	0	0
29	14	91	26	7241	100	43	44	0	0
29	15	93	25	7240	150	41	42	0	0
29	16	89	27	7242	150	45	46	0	0
29	17	87	28	7243	150	47	48	0	0
29	18	77	37	7266	150	60	61	0	0
29	19	79	36	7265	150	58	59	0	0
29	20	83	30	7245	100	51	52	0	0
29	21	85	29	7244	100	49	50	0	0
30	1	31	60	6736	150	99	100	0	0
30	2	29	61	6779	150	101	102	0	0
30	3	11	72	6762	150	121	122	0	0
30	4	103	20	6720	100	31	32	33	0
30	5	101	21	6721	100	34	35	36	0
31	1	37	57	6732	100	93	94	0	0
31	2	35	58	6676	100	95	96	0	0
31	3	148	71	6763	130	119	120	0	0
31	4	33	59	6778	100	97	98	0	0
31	5	27	62	6765	80	103	104	0	0
31	6	25	63	6766	80	105	106	0	0
31	7	23	64	6767	80	107	108	0	0
31	8	21	65	6768	80	109	110	0	0
31	9	19	66	6769	90	111	112	0	0
31	10	17	67	6770	90	113	114	0	0
31	11	15	68	6771	90	115	116	0	0
31	12	257	283	6279	90	351	352	0	0
31	13	45	53	6275	90	85	86	0	0
31	14	43	54	6276	90	87	88	0	0
31	15	41	55	6277	90	89	90	0	0
31	16	39	56	6278	90	91	92	0	0
32	1	194	154	6780	190	214	0	0	0
32	2	157	111	6780	290	170	0	0	0
32	3	168	129	6780	400	188	189	0	0
32	4	119	12	6702	100	20	21	0	0
32	5	117	13	6703	100	22	23	0	0
32	6	105	19	6717	150	29	30	0	0
32	7	57	47	6704	80	73	74	0	0
32	8	149	79	6783	100	134	135	0	0
46	1	5	76	7301	40	129	0	0	0
46	2	97	23	7238	20	39	0	0	0
46	3	95	24	7239	20	40	0	0	0
34	1	138	86	7245	200	144	0	0	0
34	2	137	85	7244	200	143	0	0	0
34	3	136	84	7243	300	142	0	0	0
34	4	135	83	7242	300	141	0	0	0
end
