1
//ID1	ID2	Value	ItemID	Dur	Rate	Quant	Days	Name
28	48	700	7243	604800	0	0	365	"Scroll of Wizardry"
29	49	100	7244	86400	0	0	365	"Scroll of Health"
29	50	500	7244	604800	0	0	365	"Scroll of Health"
30	51	100	7245	86400	0	0	365	"Scroll of Mana"
30	52	500	7245	604800	0	0	365	"Scroll of Mana"
31	53	500	7259	0	0	1	365	"Summoner Character Card"
32	54	180	7260	0	0	1	365	"Chaos Card Gold"
33	55	500	7261	0	0	1	365	"Chaos Card Rare"
34	56	80	7263	0	0	1	365	"Chaos Card  Mini"
35	57	2000	7264	0	0	1	365	"Talisman of Chaos Assembly"
36	58	150	7265	86400	0	0	365	"Scroll of Battle"
36	59	700	7265	604800	0	0	365	"Scroll of Battle"
37	60	150	7266	86400	0	0	365	"Scroll of Strengthener"
37	61	700	7266	604800	0	0	365	"Scroll of Strengthener"
38	62	120	6718	86400	0	0	365	"Seal of Healing"
38	63	600	6718	604800	0	0	365	"Seal of Healing"
39	64	100	6719	86400	0	0	365	"Seal of Divinity"
39	65	500	6719	604800	0	0	365	"Seal of Divinity"
40	66	50	6725	0	0	1	365	"Talisman of Resurrection"
41	67	40	6726	0	0	1	365	"Talisman of Mobility"
42	68	480	7246	0	0	1	365	"Leap of Strength"
43	69	480	7247	0	0	1	365	"Leap of Quickness"
44	70	480	7248	0	0	1	365	"Leap of Health"
45	71	480	7249	0	0	1	365	"Leap of Energy"
46	72	480	7250	0	0	1	365	"Leap of Control"
47	73	80	6704	0	0	1	365	"Kalima Ticket"
47	74	720	6704	0	0	10	365	"Kalima Ticket"
48	75	50	6737	0	0	1	365	"Talisman of Guardian"
49	76	50	6738	0	0	1	365	"Talisman of Item Protection"
50	77	100	6749	86400	0	0	365	"Master Seal of Ascension"
50	78	500	6749	604800	0	0	365	"Master Seal of Ascension"
50	79	1400	6749	2592000	0	0	365	"Master Seal of Ascension"
51	80	150	6750	86400	0	0	365	"Master Seal of Wealth"
51	81	700	6750	604800	0	0	365	"Master Seal of Wealth"
51	82	2100	6750	2592000	0	0	365	"Master Seal of Wealth"
52	83	600	6780	604800	0	0	1	"Gold Channel Ticket"
52	84	1400	6780	2592000	0	0	1	"Gold Channel Ticket"
53	85	90	6275	86400	0	0	365	"Small Wings of Disaster"
53	86	450	6275	604800	0	0	365	"Small Wings of Disaster"
54	87	90	6276	86400	0	0	365	"Small Wings of Fairy"
54	88	450	6276	604800	0	0	365	"Small Wings of Fairy"
55	89	90	6277	86400	0	0	365	"Small Wings of Heaven"
55	90	450	6277	604800	0	0	365	"Small Wings of Heaven"
56	91	90	6278	86400	0	0	365	"Small Wings of Satan"
56	92	450	6278	604800	0	0	365	"Small Wings of Satan"
57	93	100	6732	86400	0	0	365	"Panda Ring"
57	94	500	6732	604800	0	0	365	"Panda Ring"
58	95	100	6676	86400	0	0	365	"Wizard Ring"
58	96	500	6676	604800	0	0	365	"Wizard Ring"
59	97	100	6778	86400	0	0	365	"Skeleton Transformation Ring"
59	98	500	6778	604800	0	0	365	"Skeleton Transformation Ring"
60	99	150	6736	86400	0	0	365	"Pet Panda"
60	100	700	6736	604800	0	0	365	"Pet Panda"
61	101	150	6779	86400	0	0	365	"Pet Skeleton"
61	102	700	6779	604800	0	0	365	"Pet Skeleton"
62	103	80	6765	86400	0	0	365	"Sapphire Ring"
62	104	400	6765	604800	0	0	365	"Sapphire Ring"
63	105	80	6766	86400	0	0	365	"Ruby Ring"
63	106	400	6766	604800	0	0	365	"Ruby Ring"
64	107	80	6767	86400	0	0	365	"Topaz Ring"
64	108	400	6767	604800	0	0	365	"Topaz Ring"
65	109	80	6768	86400	0	0	365	"Amethyst Ring"
65	110	400	6768	604800	0	0	365	"Amethyst Ring"
66	111	90	6769	86400	0	0	365	"Ruby Necklace"
66	112	450	6769	604800	0	0	365	"Ruby Necklace"
67	113	90	6770	86400	0	0	365	"Emerald Necklace"
67	114	450	6770	604800	0	0	365	"Emerald Necklace"
68	115	90	6771	86400	0	0	365	"Sapphire Necklace"
68	116	450	6771	604800	0	0	365	"Sapphire Necklace"
69	117	20	7280	0	0	1	365	"Silver Key"
70	118	60	7281	0	0	1	365	"Gold Key"
71	119	130	6763	86400	0	0	365	"Critical Ring of Wizard"
71	120	600	6763	604800	0	0	365	"Critical Ring of Wizard"
72	121	150	6762	86400	0	0	365	"Pet Unicorn"
72	122	700	6762	604800	0	0	365	"Pet Unicorn"
73	123	120	6760	86400	0	0	365	"AG Boost Aura"
73	124	600	6760	604800	0	0	365	"AG Boost Aura"
74	125	120	6761	86400	0	0	365	"SD Boost Aura"
74	126	600	6761	604800	0	0	365	"SD Boost Aura"
75	127	80	6759	86400	0	0	365	"Party EXP Increase"
75	128	400	6759	604800	0	0	365	"Party EXP Increase"
76	129	40	7301	0	0	10	365	"Elite SD Potion"
77	130	100	6781	0	0	1	365	"Open Access Ticket to Doppelganger"
77	131	900	6781	0	0	10	365	"Open Access Ticket to Doppelganger"
78	132	100	6782	0	0	1	365	"Open Access Ticket to Varka"
78	133	900	6782	0	0	10	365	"Open Access Ticket to Varka"
79	134	100	6783	0	0	1	365	"Open Access Ticket to Varka 7"
79	135	900	6783	0	0	10	365	"Open Access Ticket to Varka 7"
80	136	50	6737	86400	0	0	365	"Talisman of Guardian"
80	137	250	6737	604800	0	0	365	"Talisman of Guardian"
81	138	50	6738	86400	0	0	365	"Talisman of Item Protection"
81	139	250	6738	604800	0	0	365	"Talisman of Item Protection"
82	140	290	6780	259200	0	0	1	"Gold Channel Ticket*"
83	141	300	7242	21600	0	0	365	"G-Scroll of Wrath"
84	142	300	7243	21600	0	0	365	"G-Scroll of Wizardry"
85	143	200	7244	21600	0	0	365	"G-Scroll of Health"
86	144	200	7245	21600	0	0	365	"G-Scroll of Mana"
87	145	300	7240	21600	0	0	365	"G-Scroll of Quickness"
88	146	200	7241	21600	0	0	365	"G-Scroll of Protection"
89	147	40	7262	0	0	10	365	"G-Medium Elite Healing Potion"
90	148	360	6702	0	0	1	365	"G-Devil Square Ticket"
91	149	360	6703	0	0	1	365	"G-Blood Castle Ticket"
92	150	410	6717	0	0	1	365	"G-Illusion Temple Ticket"
94	152	700	6700	604800	0	0	365	"Seal of Wealth*"
95	153	700	6750	604800	0	0	365	"Master Seal of Wealth*"
96	154	80	7260	0	0	1	365	"Chaos Card Gold*"
97	155	30	7241	86400	0	0	365	"Scroll of Protection*"
98	156	600	6780	604800	0	0	1	"Gold Channel Ticket**"
99	157	80	7260	0	0	1	365	"Chaos Card Gold**"
100	158	80	7260	0	0	1	365	"Chaos Card Gold***"
101	159	0	6736	172800	0	0	365	"Pet Panda*"
102	160	0	6736	345600	0	0	365	"Pet Panda**"
103	162	0	7280	0	0	1	365	"Silver Key_Day"
104	163	0	7281	0	0	1	365	"Gold Key_7Days"
105	164	0	7238	0	0	20	365	"Elite Healing Potion_7Days"
106	165	0	6778	86400	0	0	365	"Skeleton Transformation Ring_7Days"
107	166	0	6736	259200	0	0	365	"Pet Panda_30Days"
108	167	0	7260	0	0	1	365	"Chaos Card Gold_30Days"
109	168	0	6699	604800	0	0	365	"Seal of Ascension_30Days"
110	169	0	6749	604800	0	0	365	"Master Seal of Ascension_30Days"
111	170	290	6780	259200	0	0	1	"Gold Channel Ticket_3Days"
112	171	2000	6208	0	0	1	365	"Seed (Lightning)"
113	172	1900	6204	0	0	1	365	"Seed (Fire)"
114	173	1700	6206	0	0	1	365	"Seed (Ice)"
115	174	0	7240	86400	0	0	365	"D-Scroll of Quickness"
116	175	0	7301	0	0	10	365	"D-Elite SD Potion"
117	176	0	7263	0	0	1	365	"B-Chaos Card  Mini"
118	177	130	6763	86400	0	0	365	"D-Critical Ring of Wizard"
119	178	100	6720	86400	0	0	365	"D-Demon"
120	179	150	7266	86400	0	0	365	"D-Scroll of Strengthener"
121	180	120	6761	86400	0	0	365	"D-SD Boost Aura"
122	181	0	6769	86400	0	0	365	"D-Ruby Necklace"
123	182	100	7221	0	1	0	365	"B-Talisman of Luck"
124	183	0	7280	0	0	1	365	"B-Silver Key"
125	184	20	7280	0	0	1	365	"B-1 Silver Key"
126	185	20	7280	0	0	1	365	"B-2 Silver Key"
128	187	0	6780	259200	0	0	1	"Gold Channel Ticket"
129	188	400	6780	604800	0	0	1	"Gold Channel Ticket-Limited"
129	189	1400	6780	2592000	0	0	1	"Gold Channel Ticket-Limited"
130	190	0	6736	86400	0	0	365	"Pet Panda-1Day"
131	191	0	7281	0	0	1	365	"Gold Key-1EA"
132	192	0	7260	0	0	1	365	"Chaos Card Gold_BUG Event"
133	193	1000	6205	0	0	1	365	"Seed (Water) DEF Accuracy"
134	194	1000	6205	0	0	1	365	"Seed (Water) DEF Increase"
135	195	1000	6207	0	0	1	365	"Seed (Wind)"
136	196	2000	6209	0	0	1	365	"Seed (Earth)"
137	197	0	6780	604800	0	0	1	"Gold Channel Ticket_Nov_Event"
138	198	0	7260	0	0	1	365	"Chaos Card Gold_Nov_Event"
139	199	50	7240	86400	0	0	365	"Scroll of Quickness-ALL"
140	200	30	7241	86400	0	0	365	"Scroll of Protection-ALL"
141	201	30	7242	86400	0	0	365	"Scroll of Wrath-ALL"
142	202	30	7243	86400	0	0	365	"Scroll of Wizardry-ALL"
143	203	30	7244	86400	0	0	365	"Scroll of Health-ALL"
144	204	30	7245	86400	0	0	365	"Scroll of Mana-ALL"
145	205	1900	7286	0	0	1	365	"Charater Transfer"
146	206	2900	7286	0	0	1	365	"Server Transfer"
147	207	1900	7285	0	0	1	365	"Character Name Change"
148	208	3900	7282	0	0	1	365	"Master Skill Initialization"
149	209	0	7305	0	0	1	365	"Premium Service"
150	210	0	7286	0	0	1	365	"Server Transfer"
151	211	0	7285	0	0	1	365	"Character Transfer"
152	212	0	6736	604800	0	0	365	"Pet Panda-7day_Event"
154	214	190	6780	86400	0	0	1	"Gold Channel Ticket_1Day"
156	216	56	7245	86400	0	0	365	"Scroll of Mana-P"
157	217	56	7244	86400	0	0	365	"Scroll of Health-P"
158	218	120	7243	86400	0	0	365	"Scroll of Wizardry-P"
159	219	120	7242	86400	0	0	365	"Scroll of Wrath-P"
160	220	100	7241	86400	0	0	365	"Scroll of Protection-P"
161	221	100	7240	86400	0	0	365	"Scroll of Quickness-P"
162	222	56	7265	86400	0	0	365	"Scroll of Battle-P"
163	223	0	7280	0	0	1	365	"Silver Key - 1th day"
164	224	0	7281	0	0	1	365	"Gold Key - 5th day"
165	225	0	7263	0	0	1	365	"Chaos Card Mini - 9th day"
166	226	0	7260	0	0	1	365	"Chaos Card Gold - 13th day"
167	227	0	6736	86400	0	0	365	"Pet Panda_1Day - 17th day"
168	228	0	6732	86400	0	0	365	"Panda Ring_1Day - 17th day"
169	229	0	6780	259200	0	0	1	"Gold Channel Ticket_3Days - 20th day"
170	230	0	7221	0	1	0	365	"Talisman of Luck_1% Increases - 20th day"
171	231	0	6780	259200	0	0	1	"Gold Channel Ticket_3Days_Event"
172	232	0	6779	604800	0	0	60	"Pet Skeleton_7Day_Event"
173	233	0	6778	604800	0	0	60	"Skeleton Transformation Ring_7Day_Event"
174	234	0	7337	0	0	1	60	"Rage Fighter Character Card_Event"
175	235	0	6780	604800	0	0	1	"Gold Channel Ticket_7Day_Event"
176	236	0	6736	604800	0	0	30	"Pet Panda_7Day_Event"
177	237	0	6732	604800	0	0	30	"Panda Ring_7Day_Event"
178	238	0	6726	0	0	1	30	"Talisman of Mobility_Event"
179	239	0	6725	0	0	1	30	"Talisman of Resurrection_Event"
180	240	0	7241	604800	0	0	30	"Scroll of Protection_7Day_Event"
181	241	0	7244	604800	0	0	30	"Scroll of Health_7Day_Event"
182	242	0	7245	604800	0	0	30	"Scroll of Mana_7Day_Event"
183	243	0	7286	0	0	1	30	"Charater transfer_Event"
184	244	0	6699	86400	0	0	30	"Seal of Ascension_Reward for DC"
185	245	0	6749	86400	0	0	30	"Master Seal of Ascension_Reward for DC"
186	246	0	7286	0	0	1	30	"Charater transfer_Event"
187	247	0	7280	0	0	1	365	"Silver Key_Event"
188	248	0	7281	0	0	1	365	"Gold Key_Event"
189	249	0	7263	0	0	1	365	"Chaos Card Mini_Event"
190	250	0	7260	0	0	1	365	"Chaos Card Gold_Event"
191	251	0	6719	86400	0	0	365	"Seal of Divinity_Event"
192	252	0	6718	86400	0	0	365	"Seal of Healing_Event"
193	253	0	6778	86400	0	0	365	"Skeleton Transformation Ring_Event"
194	254	0	6779	86400	0	0	365	"Pet Skeleton_Event"
195	255	0	6780	259200	0	0	1	"Gold Channel Ticket_Event"
196	256	0	7221	0	1	0	365	"Talisman of Luck 1%_Event"
197	257	0	6780	604800	0	0	1	"Gold Channel Ticket_7Day_Event"
198	258	0	6700	604800	0	0	365	"Seal of Wealth(Normal)_7Day_Event"
199	259	0	7241	86400	0	0	365	"Scroll of Protection_1Day_Event"
200	260	0	7260	0	0	1	365	"Chaos Card Gold_Event*"
201	261	0	7260	0	0	1	365	"Chaos Card Gold_Event**"
202	262	0	7260	0	0	1	365	"Chaos Card Gold_Event***"
203	263	150	7241	86400	0	0	365	"Scroll of Protection_Red"
204	264	150	7244	86400	0	0	365	"Scroll of Health_Red"
205	265	150	7245	86400	0	0	365	"Scroll of Mana_Red"
206	266	150	7265	86400	0	0	365	"Scroll of Battle_Red"
207	267	150	7266	86400	0	0	365	"Scroll of Strengthener_Red"
208	268	150	7240	86400	0	0	365	"Scroll of Quickness_Red"
209	269	150	7242	86400	0	0	365	"Scroll of Wrath_Red"
210	270	150	7243	86400	0	0	365	"Scroll of Wizardry_Red"
211	271	150	6778	86400	0	0	365	"Skeleton Transformation Ring_Red"
212	272	150	6779	86400	0	0	365	"Pet Skeleton_Red"
213	273	150	6732	86400	0	0	365	"Panda Ring_Red"
214	274	150	6736	86400	0	0	365	"Pet Panda_Red"
215	275	150	7221	0	1	0	365	"Talisman of Luck 1%_Red"
216	276	150	7221	0	5	0	365	"Talisman of Luck 5%_Red"
217	277	150	7221	0	10	0	365	"Talisman of Luck 10%_Red"
218	278	150	6174	0	0	1	365	"Bundle of Jewel of Bless (30)_Red"
219	279	150	6175	0	0	1	365	"Bundle of Jewel of Soul (30)_Red"
220	280	150	7264	0	0	1	365	"Talisman of Chaos Assembly_Red"
221	281	150	7229	0	0	1	365	"Rare Item Ticket 4_Red"
222	282	300	7253	0	0	1	60	"Cherry Blossom Wine (3)"
223	283	300	7254	0	0	1	60	"Cherry Blossom Rice Cake (2)"
224	284	300	7255	0	0	1	60	"Cherry Blossom Petal (3)"
225	285	0	7230	0	0	1	1	"Rare Item Ticket 5(�̻��)"
226	286	0	7251	0	0	1	1	"Rare Item Ticket 6(�̻��)"
227	287	0	7313	0	0	1	1	"Rare Item Ticket 7(�̻��)"
228	288	0	7314	0	0	1	1	"Rare Item Ticket 8(�̻��)"
229	289	420	7314	0	0	1	365	"Rare Item Ticket 8_BLUE"
230	290	420	7313	0	0	1	365	"Rare Item Ticket 7_BLUE"
231	291	420	6183	0	0	1	365	"Wing of Ruin_BLUE"
232	292	420	6180	0	0	1	365	"Wing of Storm_BLUE"
233	293	420	6187	0	0	1	365	"Wing of Dimension_BLUE"
234	294	420	6184	0	0	1	365	"Cape of Emperor_BLUE"
235	295	420	6182	0	0	1	365	"Wing of Illusion_BLUE"
236	296	420	6181	0	0	1	365	"Wing of Eternal_BLUE"
237	297	420	6174	0	0	1	365	"Bundle of Jewel of Bless (30)_BLUE"
238	298	420	6175	0	0	1	365	"Bundle of Jewel of Soul (30)_BLUE"
239	299	420	6208	0	0	1	365	"Seed (Lightning)_BLUE"
240	300	420	6209	0	0	1	365	"Seed (Earth)_BLUE"
241	301	420	6204	0	0	1	365	"Seed (Fire)_BLUE"
242	302	420	6206	0	0	1	365	"Seed (Ice Mana)_BLUE"
243	303	420	6206	0	0	1	365	"Seed (Ice Skill)_BLUE"
244	304	420	6205	0	0	1	365	"Seed (Water DR)_BLUE"
245	305	420	6205	0	0	1	365	"Seed (Water BR)_BLUE"
246	306	100	7241	86400	0	0	365	"Scroll of Protection_S"
246	307	300	7241	604800	0	0	365	"Scroll of Protection_S"
247	308	100	7244	86400	0	0	365	"Scroll of Health_S"
247	309	300	7244	604800	0	0	365	"Scroll of Health_S"
248	310	100	7245	86400	0	0	365	"Scroll of Mana_S"
248	311	300	7245	604800	0	0	365	"Scroll of Mana_S"
249	312	150	7265	86400	0	0	365	"Scroll of Battle_S"
249	313	420	7265	604800	0	0	365	"Scroll of Battle_S"
250	314	150	7266	86400	0	0	365	"Scroll of Strengthener_S"
250	315	420	7266	604800	0	0	365	"Scroll of Strengthener_S"
251	316	150	7240	86400	0	0	365	"Scroll of Quickness_S"
251	317	420	7240	604800	0	0	365	"Scroll of Quickness_S"
252	318	150	7242	86400	0	0	365	"Scroll of Wrath_S"
252	319	420	7242	604800	0	0	365	"Scroll of Wrath_S"
253	320	150	7243	86400	0	0	365	"Scroll of Wizardry_S"
253	321	420	7243	604800	0	0	365	"Scroll of Wizardry_S"
254	322	100	7241	86400	0	0	365	"Scroll of Protection_P"
255	323	50	7244	86400	0	0	365	"Scroll of Health_P"
256	324	50	7245	86400	0	0	365	"Scroll of Mana_P"
257	325	34	7265	86400	0	0	365	"Scroll of Battle_P"
258	326	100	7240	86400	0	0	365	"Scroll of Quickness_P"
259	327	56	7242	86400	0	0	365	"Scroll of Wrath_P"
260	328	56	7243	86400	0	0	365	"Scroll of Wizardry_P"
261	329	10000	3630	0	0	1	365	"Brave ITEM_�ǸźҰ�"
262	330	100000	6693	0	0	1	365	"Penrill_�ǸźҰ�"
263	331	400	7337	0	0	1	365	"Rage Fighter Character Card_�ǸźҰ�"
264	332	200	7314	0	0	1	365	"Rare Item Ticket 8_Red"
265	333	200	7229	0	0	1	365	"Rare Item Ticket 4_Red"
266	334	200	6780	259200	0	0	1	"Gold Channel Ticket_Red"
267	335	200	7221	0	10	0	365	"Talisman of Luck 10%_Red"
268	336	200	6285	0	0	1	365	"Bundle of Jewel of Chaos (30)_Red"
269	337	200	6175	0	0	1	365	"Bundle of Jewel of Soul (30)_Red"
270	338	200	6174	0	0	1	365	"Bundle of Jewel of Bless (30)_Red"
271	339	200	6800	0	0	1	365	"2nd Lucky Boots Ticket_Red"
272	340	200	6799	0	0	1	365	"2nd Lucky Gloves Ticket_Red"
273	341	200	6798	0	0	1	365	"2nd Lucky Helm Ticket_Red"
274	342	200	6797	0	0	1	365	"2nd Lucky Pants Ticket_Red"
275	343	200	6796	0	0	1	365	"2nd Lucky Armor Ticket_Red"
276	344	200	6795	0	0	1	365	"1st Lucky Boots Ticket_Red"
277	345	200	6794	0	0	1	365	"1st Lucky Gloves Ticket_Red"
278	346	200	6793	0	0	1	365	"1st Lucky Helm Ticket_Red"
279	347	200	6792	0	0	1	365	"1st Lucky Pants Ticket_Red"
280	348	200	6791	0	0	1	365	"1st Lucky Armor Ticket_Red"
281	349	690	7330	0	0	1	365	"Magic Backpack"
282	350	2490	7331	0	0	1	365	"Vault Expansion Certificate"
283	351	90	6279	86400	0	0	365	"Little Warrior's Cloak"
283	352	450	6279	604800	0	0	365	"Little Warrior's Cloak"
284	353	400	7337	0	0	1	365	"Rage Fighter Character Card"
285	354	0	7280	0	0	1	30	"Silver Key_Time Attack"
286	355	0	7281	0	0	1	30	"Gold Key_Time Attack"
287	356	0	7260	0	0	1	30	"Chaos Card Gold_Time Attack"
288	357	0	7221	0	10	0	30	"Talisman of Luck 10%_Time Attack"
289	358	0	6208	0	0	1	30	"Seed of Lightning_Time Attack"
290	359	0	7260	0	0	1	30	"Chaos Card Gold_Time Attack_"
end
