// Generated from itemsetoption.bmd with MuOnline PentiumTools
//Index	Name	2-1Opt	Val.2-1Opt	2-2Opt	Val.2-2Opt	3-1Op	Val.3-1Opt	3-2Opt	Val.3-2Opt	4-1Opt	Val.4-1Opt	4-2Opt	Val.4-2Opt	5-1Opt	Val.5-1Opt	5-2Opt	Val.5-2Opt	6-1Opt	Val.6-1Opt	6-2Opt	Val.6-2Opt	7-1Opt	Val.7-1Opt	7-2Opt	Val.7-2Opt	?	?	?	?	Full1	Val.Full1	Full2	Val.Full2	Full3	Val.Full3	Full4	Val.Full4	Full5	Val.Full5	DW	DK	ELF	MG	DL	SU	RF
39	"Moros's"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	-1	-1	0	0	0	0	0	0	0
40	"Dione's"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	-1	-1	0	0	0	0	0	0	0
41	"Hades's"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	-1	-1	0	0	0	0	0	0	0
42	"Ophion's"	11	30	-1	-1	19	25	-1	-1	10	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	16	10	18	10	-1	-1	0	0	0	0	0	0	0
43	"Meter's"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
44	"Hegaton's"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
45	"Castol's"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
46	"Taros's"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
47	"Nemesis's"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	16	20	18	20	21	5	-1	-1	0	0	0	0	0	0	0
48	"Amis's"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0	0	0
49	"Trite's"	11	50	-1	-1	10	40	-1	-1	20	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	21	5	0	0	0	0	0	0	0
end
