0

//SKILL	REQ1	REQ2	Cat	Ran	sType	LReq	LMax	Value	DW	DK	ELF	MG	DL	SUM	RF

//Universal

349	0	0	3	2	0	1	20	5.02	0	78	0	78	0	0	0
350	0	0	3	2	0	1	20	6.32	0	79	0	0	0	0	0
351	0	0	3	2	0	1	20	6.32	0	80	0	0	0	0	0
352	348	0	3	3	0	1	20	11.54	0	81	0	81	0	0	0
353	349	0	3	3	0	1	10	1	0	82	0	82	0	0	0
354	350	0	3	3	0	1	20	1.20	0	83	0	0	0	0	0
355	351	0	3	3	0	1	20	1.20	0	84	0	0	0	0	0
356	48	0	3	4	48	1	20	1.81	0	85	0	0	0	0	0
357	0	0	3	4	0	1	20	7.22	86	86	86	86	86	86	0
358	0	0	3	4	0	1	20	9.14	87	87	87	87	87	87	0
359	0	0	3	4	0	1	20	43.19	88	88	88	88	88	88	0
360	356	0	3	5	48	1	20	1.81	0	89	0	0	0	0	0
361	0	0	3	5	0	1	20	5.02	0	90	0	90	91	0	0
362	359	0	3	5	0	1	20	43.19	92	92	92	92	92	92	0

//--DW

378	5	0	2	2	5	1	20	6.32	41	0	0	0	0	0	0
379	3	0	2	2	3	1	20	6.32	42	0	0	0	0	0	0
380	233	0	2	2	233	1	20	1.20	43	0	0	0	0	0	0
381	14	378	2	3	14	1	20	5.02	45	0	0	0	0	0	0
382	13	379	2	3	13	1	20	5.02	46	0	0	0	0	0	0
383	380	0	2	3	233	1	20	1.20	47	0	0	0	0	0	0
384	1	0	2	3	1	1	20	6.32	48	0	0	0	0	0	0
385	9	0	2	4	9	1	20	5.02	50	0	0	0	0	0	0
386	385	0	2	4	0	1	20	5.02	51	0	0	0	0	0	0
387	38	384	2	4	38	1	20	5.02	52	0	0	0	0	0	0
388	10	0	2	5	10	1	20	6.32	54	0	0	0	0	0	0
389	7	0	2	5	7	1	20	6.32	56	0	0	0	0	0	0


397	0	0	3	2	0	1	20	5.02	77	0	0	79	0	0	0
398	0	0	3	2	0	1	20	8.83	78	0	0	80	0	0	0
399	0	0	3	2	0	1	20	8.03	79	0	0	0	0	0	0
400	397	0	3	3	0	1	10	1	81	0	0	83	0	0	0
401	398	0	3	3	0	1	20	11.54	82	0	0	84	0	0	0
402	399	0	3	3	0	1	20	12.04	83	0	0	0	0	0	0
403	16	0	3	4	16	1	20	1.81	85	0	0	0	0	0	0
404	403	0	3	5	16	1	20	8.03	89	0	0	0	0	0	0
405	0	0	3	5	0	1	20	5.02	90	0	0	89	0	0	0

//--ELF

413	26	0	2	2	26	1	20	5.02	0	0	41	0	0	0	0
414	24	0	2	2	24	1	20	5.02	0	0	43	0	0	0	0
415	30	0	2	2	30	1	20	60.20	0	0	44	0	0	0	0	//30 to 36 (Summon Monster)
416	52	0	2	3	52	1	20	5.02	0	0	45	0	0	0	0
417	27	0	2	3	27	1	20	5.02	0	0	46	0	0	0	0
418	414	0	2	3	24	10	10	1	0	0	47	0	0	0	0	//MAX 10 LVL REQ 10 LVLS DE UNA (TIRA UNA FLECHA MAS)
419	415	0	2	3	30	1	20	60.20	0	0	48	0	0	0	0
420	28	0	2	4	28	1	20	5.02	0	0	49	0	0	0	0
421	0	0	2	4	0	1	20	5.02	0	0	51	0	0	0	0
422	420	0	2	5	28	1	20	5.02	0	0	53	0	0	0	0
423	417	0	2	5	27	1	20	5.02	0	0	54	0	0	0	0
424	51	0	2	5	51	1	20	5.02	0	0	55	0	0	0	0

435	0	0	3	2	0	1	20	5.02	0	0	77	0	0	0	0
436	0	0	3	2	0	1	20	6.32	0	0	78	0	0	0	0
437	0	0	3	2	0	1	20	8.03	0	0	79	0	0	0	0
438	435	0	3	3	0	1	10	1	0	0	81	0	0	0	0	//MAX 10 LVL
439	436	0	3	3	0	1	20	11.54	0	0	82	0	0	0	0
440	437	0	3	3	0	1	20	18.06	0	0	83	0	0	0	0
441	77	0	3	5	77	1	20	1.20	0	0	89	0	0	0	0
442	0	0	3	5	0	1	20	5.02	0	0	90	0	0	0	0

//--SUM

448	0	0	2	2	0	1	20	6.32	0	0	0	0	0	41	0
449	0	0	2	2	0	1	20	6.32	0	0	0	0	0	42	0
450	0	0	2	2	0	1	20	6.32	0	0	0	0	0	43	0
451	448	0	2	3	0	1	20	1.81	0	0	0	0	0	45	0
452	449	0	2	3	0	1	20	1.20	0	0	0	0	0	46	0
453	450	0	2	3	0	1	20	1.81	0	0	0	0	0	47	0
454	219	0	2	3	219	1	20	1.20	0	0	0	0	0	48	0
455	215	0	2	4	215	1	20	5.02	0	0	0	0	0	49	0
456	230	0	2	4	230	1	20	5.02	0	0	0	0	0	50	0
457	0	0	2	5	0	1	20	5.02	0	0	0	0	0	53	0
458	214	0	2	5	214	1	20	5.02	0	0	0	0	0	55	0

465	0	0	3	2	0	1	20	5.02	0	0	0	0	0	77	0
466	0	0	3	2	0	1	20	6.32	0	0	0	0	0	78	0
467	465	0	3	3	0	1	20	11.54	0	0	0	0	0	81	0
468	466	0	3	3	0	1	10	1	0	0	0	0	0	82	0
469	218	0	3	4	218	1	20	1.81	0	0	0	0	0	85	0
470	469	0	3	5	0	1	20	1.81	0	0	0	0	0	89	0
471	0	0	3	5	0	1	20	5.02	0	0	0	0	0	90	0

//--MG

479	22	0	2	2	22	1	20	5.02	0	0	0	41	0	0	0
480	3	0	2	2	3	1	20	6.32	0	0	0	42	0	0	0
481	41	0	2	2	41	1	20	6.32	0	0	0	43	0	0	0
482	56	0	2	2	56	1	20	6.32	0	0	0	44	0	0	0
483	5	0	2	3	5	1	20	6.32	0	0	0	45	0	0	0
484	13	480	2	3	13	1	20	5.02	0	0	0	46	0	0	0
485	481	482	2	3	0	1	20	5.02	0	0	0	48	0	0	0
486	14	483	2	4	14	1	20	5.02	0	0	0	49	0	0	0
487	9	0	2	4	9	1	20	5.02	0	0	0	50	0	0	0
488	447	0	2	4	0	1	20	5.02	0	0	0	51	0	0	0
489	7	0	2	5	7	1	20	6.32	0	0	0	53	0	0	0
490	55	0	2	5	55	1	20	5.02	0	0	0	54	0	0	0

//--DL

508	61	0	2	2	61	1	20	5.02	0	0	0	0	41	0	0
509	60	0	2	2	60	1	20	6.32	0	0	0	0	42	0	0
510	0	0	2	2	0	1	20	12.04	0	0	0	0	43	0	0
511	64	0	2	3	64	1	20	6.32	0	0	0	0	46	0	0
512	62	510	2	3	62	1	20	5.02	0	0	0	0	47	0	0
513	0	0	2	3	0	1	20	5.02	0	0	0	0	48	0	0
514	508	0	2	4	61	1	20	1.20	0	0	0	0	49	0	0
515	511	0	2	4	64	1	20	8.03	0	0	0	0	50	0	0
516	512	0	2	4	62	1	20	1.20	0	0	0	0	51	0	0	
517	515	0	2	5	64	1	20	1.81	0	0	0	0	54	0	0
518	78	0	2	5	78	1	20	5.02	0	0	0	0	55	0	0

526	0	0	3	2	0	1	20	6.32	0	0	0	0	77	0	0
527	0	0	3	2	0	1	20	5.02	0	0	0	0	78	0	0
528	0	0	3	2	0	1	20	8.03	0	0	0	0	79	0	0
529	0	0	3	2	0	1	20	6.32	0	0	0	0	80	0	0
530	526	0	3	3	0	1	20	1.81	0	0	0	0	81	0	0
531	527	0	3	3	0	1	20	11.54	0	0	0	0	82	0	0
532	528	0	3	3	0	1	20	12.04	0	0	0	0	83	0	0
533	529	0	3	3	0	1	20	38.22	0	0	0	0	84	0	0
534	530	0	3	5	0	1	20	1.20	0	0	0	0	89	0	0
535	0	0	3	5	0	1	20	12.04	0	0	0	0	90	0	0

end
